ITC Bot experimental#9136,キャンセルされました。終了します。,2021-04-20 05:34:11.417000,
ITC Bot experimental#9136,"完了が確認されました。以下の内容でよろしいでしょうか？
=======================
a

=======================
送信する人は
<@438644640325959680>
<@830724050107629588>
<@438644640325959680>
<@759238077692117013>
です。
よろしければもう一度「✅」、キャンセルし編集を続ける場合は「♻」、コマンドを終了する場合は「❌」とリアクションしてください。",2021-04-20 05:34:09.049000,
kyoichi#8214,a,2021-04-20 05:34:07.954000,
ITC Bot experimental#9136,'<@438644640325959680>' に DM を一斉送信します。内容を記入が終わりましたら「✅」、キャンセルする場合は「❌」とリアクションしてください。,2021-04-20 05:34:05.055000,
kyoichi#8214,!send2 <@!438644640325959680>,2021-04-20 05:34:04.807000,
ITC Bot experimental#9136,モジュール cogs.send2 の再読み込みを終了しました。,2021-04-20 05:34:02.215000,
ITC Bot experimental#9136,モジュール cogs.send2 の再読み込みを開始します。,2021-04-20 05:34:01.631000,
kyoichi#8214,!reload cogs.send2,2021-04-20 05:34:01.072000,
ITC Bot experimental#9136,キャンセルされました。終了します。,2021-04-20 05:30:54.168000,
ITC Bot experimental#9136,"完了が確認されました。以下の内容でよろしいでしょうか？
=======================
aaa

=======================
送信する人は
<@438644640325959680>
<@830724050107629588>
<@438644640325959680>
<@759238077692117013>
です。
よろしければもう一度「✅」、キャンセルし編集を続ける場合は「♻」、コマンドを終了する場合は「❌」とリアクションしてください。",2021-04-20 05:30:51.811000,
kyoichi#8214,aaa,2021-04-20 05:30:50.595000,
ITC Bot experimental#9136,'<@438644640325959680>' に DM を一斉送信します。内容を記入が終わりましたら「✅」、キャンセルする場合は「❌」とリアクションしてください。,2021-04-20 05:30:47.792000,
kyoichi#8214,!send2 <@!438644640325959680>,2021-04-20 05:30:47.505000,
ITC Bot experimental#9136,指定されていません,2021-04-20 05:30:41.381000,
kyoichi#8214,!send2,2021-04-20 05:30:41.145000,
ITC Bot experimental#9136,モジュール cogs.send2 の再読み込みを終了しました。,2021-04-20 05:30:40.177000,
ITC Bot experimental#9136,モジュール cogs.send2 の再読み込みを開始します。,2021-04-20 05:30:39.659000,
kyoichi#8214,!reload cogs.send2,2021-04-20 05:30:39.247000,
ITC Bot experimental#9136,キャンセルされました。終了します。,2021-04-20 05:30:08.156000,
ITC Bot experimental#9136,'' に DM を一斉送信します。内容を記入が終わりましたら「✅」、キャンセルする場合は「❌」とリアクションしてください。,2021-04-20 05:30:04.641000,
kyoichi#8214,!send2,2021-04-20 05:30:04.386000,
ITC Bot experimental#9136,モジュール cogs.send2 の再読み込みを終了しました。,2021-04-20 05:30:03.338000,
ITC Bot experimental#9136,モジュール cogs.send2 の再読み込みを開始します。,2021-04-20 05:30:02.932000,
kyoichi#8214,!reload cogs.send2,2021-04-20 05:30:02.283000,
ITC Bot experimental#9136,キャンセルされました。終了します。,2021-04-20 05:28:11.109000,
ITC Bot experimental#9136,"完了が確認されました。以下の内容でよろしいでしょうか？
=======================
aaaa

=======================
送信する人は
<@438644640325959680>
<@830724050107629588>
<@438644640325959680>
<@759238077692117013>
です。
よろしければもう一度「✅」、キャンセルし編集を続ける場合は「♻」、コマンドを終了する場合は「❌」とリアクションしてください。",2021-04-20 05:28:07.595000,
kyoichi#8214,aaaa,2021-04-20 05:28:06.470000,
ITC Bot experimental#9136,'<@438644640325959680>' に DM を一斉送信します。内容を記入が終わりましたら「✅」、キャンセルする場合は「❌」とリアクションしてください。,2021-04-20 05:28:04.444000,
kyoichi#8214,!send2 <@!438644640325959680>,2021-04-20 05:28:04.074000,
ITC Bot experimental#9136,モジュール cogs.send2 の再読み込みを終了しました。,2021-04-20 05:28:00.776000,
ITC Bot experimental#9136,モジュール cogs.send2 の再読み込みを開始します。,2021-04-20 05:28:00.312000,
kyoichi#8214,!reload cogs.send2,2021-04-20 05:27:59.662000,
ITC Bot experimental#9136,Command raised an exception: AttributeError: 'str' object has no attribute 'mention',2021-04-20 05:27:28.268000,
kyoichi#8214,aaaa,2021-04-20 05:27:27.057000,
ITC Bot experimental#9136,'<@438644640325959680>' に DM を一斉送信します。内容を記入が終わりましたら「✅」、キャンセルする場合は「❌」とリアクションしてください。,2021-04-20 05:27:22.090000,
kyoichi#8214,!send2 <@!438644640325959680>,2021-04-20 05:27:21.870000,
ITC Bot experimental#9136,Botを終了します。,2021-04-20 05:25:55.467000,
ITC Bot experimental#9136,Botを停止させますか？,2021-04-20 05:25:53.959000,
kyoichi#8214,!stop,2021-04-20 05:25:53.427000,
ITC Bot experimental#9136,Botを終了します。,2021-04-20 05:25:48.276000,
